0:0:0:0:0:0:0:1 - - [21/May/2018:13:20:48 +0530] "GET /Application/Admin/resources/jQuery/jquery-1.12.3.min.js HTTP/1.1" 200 97180
0:0:0:0:0:0:0:1 - - [21/May/2018:13:20:48 +0530] "GET /Application/Admin/resources/jQuery/jquery-ui.js HTTP/1.1" 200 470596
0:0:0:0:0:0:0:1 - - [21/May/2018:13:21:52 +0530] "GET /Application/Admin/resources/css/form-style.css HTTP/1.1" 404 1043
0:0:0:0:0:0:0:1 - - [21/May/2018:13:21:57 +0530] "GET /Application/Admin/Update.jsp HTTP/1.1" 200 10628
0:0:0:0:0:0:0:1 - - [21/May/2018:13:21:57 +0530] "GET /Application/Admin/resources/css/form-style.css HTTP/1.1" 404 1043
0:0:0:0:0:0:0:1 - - [21/May/2018:13:21:57 +0530] "GET /Application/Admin/resources/JS/Update230.js HTTP/1.1" 200 1045
0:0:0:0:0:0:0:1 - - [21/May/2018:13:24:15 +0530] "GET /Application/Admin/c_user.jsp HTTP/1.1" 200 74517
0:0:0:0:0:0:0:1 - - [21/May/2018:13:24:15 +0530] "GET /Application/Admin/resources/css/form-style.css HTTP/1.1" 404 1043
0:0:0:0:0:0:0:1 - - [21/May/2018:13:24:15 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [21/May/2018:13:24:15 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.css HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [21/May/2018:13:24:15 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [21/May/2018:13:24:15 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.css HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [21/May/2018:13:24:15 +0530] "GET /Application/Admin/resources/JS/Headquarter.js HTTP/1.1" 200 1497
0:0:0:0:0:0:0:1 - - [21/May/2018:13:24:15 +0530] "GET /Application/Admin/resources/JS/Reports230.js HTTP/1.1" 200 30936
0:0:0:0:0:0:0:1 - - [21/May/2018:13:24:16 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [21/May/2018:13:24:16 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.css HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [21/May/2018:13:24:23 +0530] "GET /Application/Admin/pass.jsp?ver=sysadmin HTTP/1.1" 200 372
0:0:0:0:0:0:0:1 - - [21/May/2018:13:54:16 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10801
0:0:0:0:0:0:0:1 - - [21/May/2018:14:07:10 +0530] "POST /Application/Admin/login_success.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/May/2018:14:07:45 +0530] "GET /Application/Admin/NewIndex.jsp HTTP/1.1" 200 12467
0:0:0:0:0:0:0:1 - - [21/May/2018:14:07:45 +0530] "GET /Application/Admin/resources/css/form-style.css HTTP/1.1" 404 1043
0:0:0:0:0:0:0:1 - - [21/May/2018:14:07:45 +0530] "GET /Application/Admin/resources/css/form-style.css HTTP/1.1" 404 1043
0:0:0:0:0:0:0:1 - - [21/May/2018:14:14:03 +0530] "GET /Application/Admin/Reportpiuinitiate.jsp HTTP/1.1" 200 66380
