0:0:0:0:0:0:0:1 - - [25/Oct/2018:15:36:45 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [25/Oct/2018:15:36:45 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.css HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [25/Oct/2018:15:36:50 +0530] "GET /Application/Admin/recordReport.jsp?Document_Type=ESP&doc_id=1078 HTTP/1.1" 200 5620
0:0:0:0:0:0:0:1 - - [25/Oct/2018:15:36:59 +0530] "GET /Application/Admin/ManualMail.jsp HTTP/1.1" 200 7722
0:0:0:0:0:0:0:1 - - [25/Oct/2018:15:36:59 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [25/Oct/2018:15:36:59 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.css HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [25/Oct/2018:15:36:59 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [25/Oct/2018:15:36:59 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.css HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [25/Oct/2018:15:37:02 +0530] "GET /Application/Admin/ManualMail.jsp?identification=ninth&assigneddays=&assigneduser=&assigneduser1=&username= HTTP/1.1" 200 7796
0:0:0:0:0:0:0:1 - - [25/Oct/2018:15:37:02 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.css HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [25/Oct/2018:15:37:02 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [25/Oct/2018:15:37:02 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.css HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [25/Oct/2018:15:37:04 +0530] "GET /Application/Admin/ManualMail.jsp?identification=ninth&assigneddays=&assigneduser=&assigneduser1=&username= HTTP/1.1" 200 7796
0:0:0:0:0:0:0:1 - - [25/Oct/2018:15:37:04 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [25/Oct/2018:15:37:04 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.css HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [25/Oct/2018:15:37:04 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.css HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [25/Oct/2018:15:37:11 +0530] "GET /Application/Admin/ManualMail.jsp?identification=ninth&assigneddays=&assigneduser=&assigneduser1=&username= HTTP/1.1" 200 7796
0:0:0:0:0:0:0:1 - - [25/Oct/2018:15:37:11 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [25/Oct/2018:15:37:11 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.css HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [25/Oct/2018:15:37:11 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.css HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [25/Oct/2018:15:37:23 +0530] "GET /Application/Admin/NewIndex.jsp HTTP/1.1" 200 13432
0:0:0:0:0:0:0:1 - - [25/Oct/2018:15:37:25 +0530] "GET /Application/Admin/NewIndex.jsp HTTP/1.1" 200 13432
0:0:0:0:0:0:0:1 - - [25/Oct/2018:15:37:29 +0530] "GET /Application/Admin/ManualMail.jsp?identification=ninth&assigneddays=&assigneduser=&assigneduser1=&username= HTTP/1.1" 200 7796
0:0:0:0:0:0:0:1 - - [25/Oct/2018:15:37:29 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.css HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [25/Oct/2018:15:37:29 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [25/Oct/2018:15:37:29 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [25/Oct/2018:15:37:29 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.css HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [25/Oct/2018:15:37:30 +0530] "GET /Application/Admin/NewIndex.jsp HTTP/1.1" 200 13432
0:0:0:0:0:0:0:1 - - [25/Oct/2018:15:37:31 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.css HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [25/Oct/2018:15:37:43 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 11199
0:0:0:0:0:0:0:1 - - [25/Oct/2018:15:37:53 +0530] "GET /Application/Admin/NewIndex.jsp HTTP/1.1" 200 13432
